3						
#n	pH(k)	F(k)	pH(k+1)
  7.9203188e+000	  5.1816426e+002	  7.9352693e+000	
  7.9352693e+000	  5.1816426e+002	  7.9489495e+000	
  7.9489495e+000	  5.1816426e+002	  7.9614325e+000	
  7.9614325e+000	  5.1816426e+002	  7.9727936e+000	
  7.9727936e+000	  5.1816426e+002	  7.9831085e+000	
  7.9831085e+000	  5.1816426e+002	  7.9924528e+000	
  7.9924528e+000	  5.1816426e+002	  8.0009003e+000	
  8.0009003e+000	  5.1837857e+002	  8.0446657e+000	
  8.0446657e+000	  5.1837857e+002	  8.0871378e+000	
  8.0871378e+000	  5.1837857e+002	  8.1281612e+000	
  8.1281612e+000	  5.1837857e+002	  8.1675817e+000	
  8.1675817e+000	  5.1837857e+002	  8.2052527e+000	
  8.2052527e+000	  5.1837857e+002	  8.2410422e+000	
  8.2410422e+000	  5.1837857e+002	  8.2748400e+000	
  8.2748400e+000	  5.1837857e+002	  8.3065633e+000	
  8.3065633e+000	  5.1837857e+002	  8.3361611e+000	
  8.3361611e+000	  5.1837857e+002	  8.3636158e+000	
  8.3636158e+000	  5.1837857e+002	  8.3889430e+000	
  8.3889430e+000	  5.1837857e+002	  8.4121886e+000	
  8.4121886e+000	  5.1782790e+002	  8.2647411e+000	
  8.2647411e+000	  5.1782790e+002	  8.1592313e+000	
  8.1592313e+000	  5.1782790e+002	  8.0807799e+000	
  8.0807799e+000	  5.1782790e+002	  8.0203455e+000	
  8.0203455e+000	  5.1782790e+002	  7.9724878e+000	
  7.9724878e+000	  5.1782790e+002	  7.9337834e+000	
  7.9337834e+000	  5.1782790e+002	  7.9019705e+000	
  7.9019705e+000	  5.1782790e+002	  7.8754883e+000	
  7.8754883e+000	  5.1782790e+002	  7.8532201e+000	
  7.8532201e+000	  5.1782790e+002	  7.8343424e+000	
  7.8343424e+000	  5.1782790e+002	  7.8182319e+000	
  7.8182319e+000	  5.1782790e+002	  7.8044073e+000	
  7.8044073e+000	  5.1782790e+002	  7.7924895e+000	
  7.7924895e+000	  5.1782790e+002	  7.7821758e+000	
  7.7821758e+000	  5.1782790e+002	  7.7732211e+000	
  7.7732211e+000	  5.1782790e+002	  7.7654245e+000	
  7.7654245e+000	  5.2035291e+002	  8.0940092e+000	
  8.0940092e+000	  5.2035291e+002	  8.7778423e+000	
  8.7778423e+000	  5.2035291e+002	  9.3269426e+000	
  9.3269426e+000	  5.2035291e+002	  9.5665911e+000	
  9.5665911e+000	  5.2035291e+002	  9.7073712e+000	
  9.7073712e+000	  5.2035291e+002	  9.8031798e+000	
  9.8031798e+000	  5.2035291e+002	  9.8735715e+000	
  9.8735715e+000	  5.2035291e+002	  9.9277418e+000	
  9.9277418e+000	  5.2035291e+002	  9.9707341e+000	
  9.9707341e+000	  5.2035291e+002	  1.0005608e+001	
  1.0005608e+001	  5.2035291e+002	  1.0034359e+001	
  1.0034359e+001	  5.2035291e+002	  1.0058358e+001	
  1.0058358e+001	  5.2035291e+002	  1.0078585e+001	
  1.0078585e+001	  5.2035291e+002	  1.0095767e+001	
  1.0095767e+001	  5.2035291e+002	  1.0110455e+001	
  1.0110455e+001	  5.2035291e+002	  1.0123076e+001	
  1.0123076e+001	  5.1832550e+002	  1.0068593e+001	
  1.0068593e+001	  5.1832550e+002	  1.0013810e+001	
  1.0013810e+001	  5.1832550e+002	  9.9586943e+000	
  9.9586943e+000	  5.1832550e+002	  9.9032079e+000	
  9.9032079e+000	  5.1832550e+002	  9.8473109e+000	
  9.8473109e+000	  5.1832550e+002	  9.7909611e+000	
  9.7909611e+000	  5.1832550e+002	  9.7341154e+000	
  9.7341154e+000	  5.1832550e+002	  9.6767306e+000	
  9.6767306e+000	  5.1832550e+002	  9.6187670e+000	
  9.6187670e+000	  5.1832550e+002	  9.5601918e+000	
  9.5601918e+000	  5.2066910e+002	  9.7278974e+000	
  9.7278974e+000	  5.2066910e+002	  9.8370398e+000	
  9.8370398e+000	  5.2066910e+002	  9.9153104e+000	
  9.9153104e+000	  5.2066910e+002	  9.9746438e+000	
  9.9746438e+000	  5.2066910e+002	  1.0021255e+001	
  1.0021255e+001	  5.2066910e+002	  1.0058789e+001	
  1.0058789e+001	  5.2066910e+002	  1.0089563e+001	
  1.0089563e+001	  5.2066910e+002	  1.0115141e+001	
  1.0115141e+001	  5.2066910e+002	  1.0136628e+001	
  1.0136628e+001	  5.2066910e+002	  1.0154830e+001	
  1.0154830e+001	  5.2066910e+002	  1.0170355e+001	
  1.0170355e+001	  5.2066910e+002	  1.0183672e+001	
  1.0183672e+001	  5.2066910e+002	  1.0195148e+001	
  1.0195148e+001	  5.2066910e+002	  1.0205076e+001	
  1.0205076e+001	  5.2066910e+002	  1.0213692e+001	
  1.0213692e+001	  5.2066910e+002	  1.0221191e+001	
  1.0221191e+001	  5.2066910e+002	  1.0227734e+001	
  1.0227734e+001	  5.2066910e+002	  1.0233454e+001	
  1.0233454e+001	  5.2066910e+002	  1.0238463e+001	
  1.0238463e+001	  5.2066910e+002	  1.0242857e+001	
  1.0242857e+001	  5.2066910e+002	  1.0246715e+001	
  1.0246715e+001	  5.1809500e+002	  1.0186734e+001	
  1.0186734e+001	  5.1809500e+002	  1.0125583e+001	
  1.0125583e+001	  5.1809500e+002	  1.0063063e+001	
  1.0063063e+001	  5.1809500e+002	  9.9989353e+000	
  9.9989353e+000	  5.1809500e+002	  9.9329050e+000	
  9.9329050e+000	  5.1809500e+002	  9.8646103e+000	
  9.8646103e+000	  5.1809500e+002	  9.7935997e+000	
  9.7935997e+000	  5.1809500e+002	  9.7193038e+000	
  9.7193038e+000	  5.1809500e+002	  9.6409974e+000	
  9.6409974e+000	  5.1809500e+002	  9.5577475e+000	
  9.5577475e+000	  5.1809500e+002	  9.4683511e+000	
  9.4683511e+000	  5.1809500e+002	  9.3712718e+000	
  9.3712718e+000	  5.1809500e+002	  9.2646390e+000	
  9.2646390e+000	  5.1809500e+002	  9.1465037e+000	
  9.1465037e+000	  5.1809500e+002	  9.0158776e+000	
  9.0158776e+000	  5.1809500e+002	  8.8753252e+000	
  8.8753252e+000	  5.2358631e+002	  9.7246959e+000	
  9.7246959e+000	  5.2358631e+002	  9.9809342e+000	
  9.9809342e+000	  5.2358631e+002	  1.0125843e+001	
  1.0125843e+001	  5.2358631e+002	  1.0223309e+001	
  1.0223309e+001	  5.2358631e+002	  1.0294524e+001	
  1.0294524e+001	  5.2358631e+002	  1.0349153e+001	
  1.0349153e+001	  5.2358631e+002	  1.0392417e+001	
  1.0392417e+001	  5.2358631e+002	  1.0427455e+001	
  1.0427455e+001	  5.2358631e+002	  1.0456306e+001	
  1.0456306e+001	  5.2358631e+002	  1.0480362e+001	
  1.0480362e+001	  5.2358631e+002	  1.0500619e+001	
  1.0500619e+001	  5.2358631e+002	  1.0517812e+001	
  1.0517812e+001	  5.2358631e+002	  1.0532499e+001	
  1.0532499e+001	  5.2358631e+002	  1.0545111e+001	
  1.0545111e+001	  5.2358631e+002	  1.0555988e+001	
  1.0555988e+001	  5.2358631e+002	  1.0565404e+001	
  1.0565404e+001	  5.2358631e+002	  1.0573580e+001	
  1.0573580e+001	  5.2358631e+002	  1.0580699e+001	
  1.0580699e+001	  5.2358631e+002	  1.0586911e+001	
  1.0586911e+001	  5.2509412e+002	  1.0607709e+001	
  1.0607709e+001	  5.2509412e+002	  1.0625335e+001	
  1.0625335e+001	  5.2509412e+002	  1.0640374e+001	
  1.0640374e+001	  5.2509412e+002	  1.0653274e+001	
  1.0653274e+001	  5.2509412e+002	  1.0664391e+001	
  1.0664391e+001	  5.2509412e+002	  1.0674006e+001	
  1.0674006e+001	  5.2509412e+002	  1.0682349e+001	
  1.0682349e+001	  5.2509412e+002	  1.0689608e+001	
  1.0689608e+001	  5.1376020e+002	  1.0591879e+001	
  1.0591879e+001	  5.1376020e+002	  1.0481717e+001	
  1.0481717e+001	  5.1376020e+002	  1.0353111e+001	
  1.0353111e+001	  5.1376020e+002	  1.0194541e+001	
  1.0194541e+001	  5.1376020e+002	  9.9792347e+000	
  9.9792347e+000	  5.1376020e+002	  9.6155636e+000	
  9.6155636e+000	  5.1376020e+002	  8.3885512e+000	
  8.3885512e+000	  5.1376020e+002	  7.6845733e+000	
  7.6845733e+000	  5.1376020e+002	  7.4433702e+000	
  7.4433702e+000	  5.1376020e+002	  7.3036033e+000	
  7.3036033e+000	  5.1376020e+002	  7.2085758e+000	
  7.2085758e+000	  5.1878743e+002	  7.2724322e+000	
  7.2724322e+000	  5.1878743e+002	  7.3381419e+000	
  7.3381419e+000	  5.1878743e+002	  7.4060646e+000	
  7.4060646e+000	  5.1878743e+002	  7.4766525e+000	
  7.4766525e+000	  5.1878743e+002	  7.5504824e+000	
  7.5504824e+000	  5.1878743e+002	  7.6283023e+000	
  7.6283023e+000	  5.1878743e+002	  7.7110997e+000	
  7.7110997e+000	  5.1878743e+002	  7.8002029e+000	
  7.8002029e+000	  5.1597383e+002	  7.6331049e+000	
  7.6331049e+000	  5.1597383e+002	  7.5242262e+000	
  7.5242262e+000	  5.1597383e+002	  7.4460564e+000	
  7.4460564e+000	  5.1597383e+002	  7.3867401e+000	
  7.3867401e+000	  5.1597383e+002	  7.3400996e+000	
  7.3400996e+000	  5.1597383e+002	  7.3025103e+000	
  7.3025103e+000	  5.1597383e+002	  7.2716659e+000	
  7.2716659e+000	  5.1597383e+002	  7.2460089e+000	
  7.2460089e+000	  5.1597383e+002	  7.2244394e+000	
  7.2244394e+000	  5.1597383e+002	  7.2061528e+000	
  7.2061528e+000	  5.1597383e+002	  7.1905431e+000	
  7.1905431e+000	  5.1597383e+002	  7.1771437e+000	
  7.1771437e+000	  5.2393455e+002	  7.4220788e+000	
  7.4220788e+000	  5.2393455e+002	  7.8989409e+000	
  7.8989409e+000	  5.2393455e+002	  9.4179866e+000	
  9.4179866e+000	  5.2393455e+002	  9.8740218e+000	
  9.8740218e+000	  5.2393455e+002	  1.0073129e+001	
  1.0073129e+001	  5.2393455e+002	  1.0195775e+001	
  1.0195775e+001	  5.1694909e+002	  1.0099147e+001	
  1.0099147e+001	  5.1694909e+002	  9.9907201e+000	
  9.9907201e+000	  5.1694909e+002	  9.8650475e+000	
  9.8650475e+000	  5.1694909e+002	  9.7120975e+000	
  9.7120975e+000	  5.1694909e+002	  9.5103789e+000	
  9.5103789e+000	  5.1694909e+002	  9.2023384e+000	
  9.2023384e+000	  5.1694909e+002	  8.6563916e+000	
  8.6563916e+000	  5.1694909e+002	  8.1875355e+000	
  8.1875355e+000	  5.1694909e+002	  7.9541166e+000	
  7.9541166e+000	  5.1863558e+002	  8.0418517e+000	
  8.0418517e+000	  5.1863558e+002	  8.1358716e+000	
  8.1358716e+000	  5.1438991e+002	  7.6673272e+000	
  7.6673272e+000	  5.1438991e+002	  7.4637870e+000	
  7.4637870e+000	  5.1438991e+002	  7.3388961e+000	
  7.3388961e+000	  5.1438991e+002	  7.2517828e+000	
  7.2517828e+000	  5.1438991e+002	  7.1867843e+000	
  7.1867843e+000	  5.1438991e+002	  7.1362319e+000	
  7.1362319e+000	  5.1438991e+002	  7.0957982e+000	
  7.0957982e+000	  5.1438991e+002	  7.0628025e+000	
  7.0628025e+000	  5.1438991e+002	  7.0354697e+000	
  7.0354697e+000	  5.1438991e+002	  7.0125646e+000	
  7.0125646e+000	  5.1438991e+002	  6.9931941e+000	
  6.9931941e+000	  5.1438991e+002	  6.9766918e+000	
  6.9766918e+000	  5.1438991e+002	  6.9625486e+000	
  6.9625486e+000	  5.1438991e+002	  6.9503670e+000	
  6.9503670e+000	  5.1438991e+002	  6.9398312e+000	
  6.9398312e+000	  5.1438991e+002	  6.9306873e+000	
  6.9306873e+000	  5.1438991e+002	  6.9227277e+000	
  6.9227277e+000	  5.2093357e+002	  7.0166618e+000	
  7.0166618e+000	  5.2093357e+002	  7.1212175e+000	
  7.1212175e+000	  5.2093357e+002	  7.2410698e+000	
  7.2410698e+000	  5.2093357e+002	  7.3846240e+000	
  7.3846240e+000	  5.1852320e+002	  7.4420370e+000	
  7.4420370e+000	  5.1852320e+002	  7.5001539e+000	
  7.5001539e+000	  5.1852320e+002	  7.5590699e+000	
  7.5590699e+000	  5.1852320e+002	  7.6188920e+000	
  7.6188920e+000	  5.1852320e+002	  7.6797398e+000	
  7.6797398e+000	  5.1852320e+002	  7.7417453e+000	
  7.7417453e+000	  5.1852320e+002	  7.8050512e+000	
  7.8050512e+000	  5.1852320e+002	  7.8698068e+000	
  7.8698068e+000	  5.1852320e+002	  7.9361588e+000	
  7.9361588e+000	  5.1852320e+002	  8.0042353e+000	
  8.0042353e+000	  5.1852320e+002	  8.0741167e+000	
  8.0741167e+000	  5.1852320e+002	  8.1457894e+000	
  8.1457894e+000	  5.1852320e+002	  8.2190751e+000	
  8.2190751e+000	  5.1852320e+002	  8.2935398e+000	
  8.2935398e+000	  5.1852320e+002	  8.3683977e+000	
  8.3683977e+000	  5.1852320e+002	  8.4424645e+000	
  8.4424645e+000	  5.1852320e+002	  8.5142293e+000	
  8.5142293e+000	  5.2342177e+002	  9.6440881e+000	
  9.6440881e+000	  5.2342177e+002	  9.9351969e+000	
  9.9351969e+000	  5.2342177e+002	  1.0091939e+001	
  1.0091939e+001	  5.2342177e+002	  1.0195313e+001	
  1.0195313e+001	  5.2342177e+002	  1.0270049e+001	
  1.0270049e+001	  5.2342177e+002	  1.0327001e+001	
  1.0327001e+001	  5.2342177e+002	  1.0371902e+001	
  1.0371902e+001	  5.2342177e+002	  1.0408150e+001	
  1.0408150e+001	  5.2342177e+002	  1.0437924e+001	
  1.0437924e+001	  5.2342177e+002	  1.0462705e+001	
  1.0462705e+001	  5.2342177e+002	  1.0483542e+001	
  1.0483542e+001	  5.2342177e+002	  1.0501206e+001	
  1.0501206e+001	  5.2342177e+002	  1.0516281e+001	
  1.0516281e+001	  5.2342177e+002	  1.0529216e+001	
  1.0529216e+001	  5.2342177e+002	  1.0540364e+001	
  1.0540364e+001	  5.2342177e+002	  1.0550010e+001	
  1.0550010e+001	  5.1926452e+002	  1.0508991e+001	
  1.0508991e+001	  5.1926452e+002	  1.0469061e+001	
  1.0469061e+001	  5.1926452e+002	  1.0430290e+001	
  1.0430290e+001	  5.1926452e+002	  1.0392749e+001	
  1.0392749e+001	  5.1926452e+002	  1.0356504e+001	
  1.0356504e+001	  5.1926452e+002	  1.0321619e+001	
  1.0321619e+001	  5.1926452e+002	  1.0288149e+001	
  1.0288149e+001	  5.1926452e+002	  1.0256144e+001	
  1.0256144e+001	  5.1926452e+002	  1.0225644e+001	
  1.0225644e+001	  5.1926452e+002	  1.0196681e+001	
  1.0196681e+001	  5.1926452e+002	  1.0169275e+001	
  1.0169275e+001	  5.1926452e+002	  1.0143436e+001	
  1.0143436e+001	  5.1926452e+002	  1.0119162e+001	
  1.0119162e+001	  5.2453071e+002	  1.0241248e+001	
  1.0241248e+001	  5.2453071e+002	  1.0326608e+001	
  1.0326608e+001	  5.2453071e+002	  1.0390360e+001	
  1.0390360e+001	  5.2453071e+002	  1.0439954e+001	
  1.0439954e+001	  5.2453071e+002	  1.0479611e+001	
  1.0479611e+001	  5.2453071e+002	  1.0511955e+001	
  1.0511955e+001	  5.2453071e+002	  1.0538727e+001	
  1.0538727e+001	  5.2453071e+002	  1.0561141e+001	
  1.0561141e+001	  5.2453071e+002	  1.0580077e+001	
  1.0580077e+001	  5.2453071e+002	  1.0596190e+001	
  1.0596190e+001	  5.2453071e+002	  1.0609982e+001	
  1.0609982e+001	  5.2453071e+002	  1.0621846e+001	
  1.0621846e+001	  5.2453071e+002	  1.0632093e+001	
  1.0632093e+001	  5.2453071e+002	  1.0640973e+001	
  1.0640973e+001	  5.2435065e+002	  1.0647049e+001	
  1.0647049e+001	  5.2435065e+002	  1.0652363e+001	
  1.0652363e+001	  5.2435065e+002	  1.0657017e+001	
  1.0657017e+001	  5.2142494e+002	  1.0634414e+001	
  1.0634414e+001	  5.2142494e+002	  1.0613344e+001	
  1.0613344e+001	  5.2142494e+002	  1.0593771e+001	
  1.0593771e+001	  5.2142494e+002	  1.0575650e+001	
  1.0575650e+001	  5.2142494e+002	  1.0558928e+001	
  1.0558928e+001	  5.2142494e+002	  1.0543547e+001	
  1.0543547e+001	  5.1837079e+002	  1.0491124e+001	
  1.0491124e+001	  5.1837079e+002	  1.0438659e+001	
  1.0438659e+001	  5.1837079e+002	  1.0386146e+001	
  1.0386146e+001	  5.1837079e+002	  1.0333580e+001	
  1.0333580e+001	  5.1837079e+002	  1.0280956e+001	
  1.0280956e+001	  5.1837079e+002	  1.0228269e+001	
  1.0228269e+001	  5.1837079e+002	  1.0175513e+001	
  1.0175513e+001	  5.1837079e+002	  1.0122683e+001	
  1.0122683e+001	  5.1837079e+002	  1.0069771e+001	
  1.0069771e+001	  5.1837079e+002	  1.0016774e+001	
  1.0016774e+001	  5.1837079e+002	  9.9636873e+000	
  9.9636873e+000	  5.1837079e+002	  9.9105070e+000	
  9.9105070e+000	  5.1837079e+002	  9.8572323e+000	
  9.8572323e+000	  5.1837079e+002	  9.8038652e+000	
  9.8038652e+000	  5.1837079e+002	  9.7504120e+000	
  9.7504120e+000	  5.1836852e+002	  9.6967002e+000	
  9.6967002e+000	  5.1836852e+002	  9.6429110e+000	
  9.6429110e+000	  5.1836852e+002	  9.5890734e+000	
  9.5890734e+000	  5.1804095e+002	  9.4952596e+000	
  9.4952596e+000	  5.1804095e+002	  9.3920736e+000	
  9.3920736e+000	  5.1804095e+002	  9.2767629e+000	
  9.2767629e+000	  5.1804095e+002	  9.1461013e+000	
  9.1461013e+000	  5.1804095e+002	  8.9978607e+000	
  8.9978607e+000	  5.1804095e+002	  8.8355293e+000	
  8.8355293e+000	  5.1804095e+002	  8.6740198e+000	
  8.6740198e+000	  5.1804095e+002	  8.5324947e+000	
  8.5324947e+000	  5.1804095e+002	  8.4188293e+000	
  8.4188293e+000	  5.1804095e+002	  8.3300759e+000	
  8.3300759e+000	  5.1804095e+002	  8.2604817e+000	
  8.2604817e+000	  5.1804095e+002	  8.2051088e+000	
  8.2051088e+000	  5.1804095e+002	  8.1603502e+000	
  8.1603502e+000	  5.1804095e+002	  8.1236546e+000	
  8.1236546e+000	  5.1804095e+002	  8.0932055e+000	
  8.0932055e+000	  5.1804095e+002	  8.0676851e+000	
  8.0676851e+000	  5.1804095e+002	  8.0461169e+000	
  8.0461169e+000	  5.1804095e+002	  8.0277622e+000	
  8.0277622e+000	  5.1792292e+002	  7.9931248e+000	
  7.9931248e+000	  5.1792292e+002	  7.9643975e+000	
  7.9643975e+000	  5.1792292e+002	  7.9403172e+000	
  7.9403172e+000	  5.1792292e+002	  7.9199574e+000	
  7.9199574e+000	  5.1792292e+002	  7.9026214e+000	
  7.9026214e+000	  5.1792292e+002	  7.8877736e+000	
  7.8877736e+000	  5.1792292e+002	  7.8749949e+000	
  7.8749949e+000	  5.1792292e+002	  7.8639517e+000	
  7.8639517e+000	  5.1792292e+002	  7.8543752e+000	
  7.8543752e+000	  5.1792292e+002	  7.8460461e+000	
  7.8460461e+000	  5.1792292e+002	  7.8387836e+000	
  7.8387836e+000	  5.1792292e+002	  7.8324372e+000	
  7.8324372e+000	  5.1792292e+002	  7.8268811e+000	
  7.8268811e+000	  5.1792292e+002	  7.8220089e+000	
  7.8220089e+000	  5.1792292e+002	  7.8177304e+000	
  7.8177304e+000	  5.1792292e+002	  7.8139687e+000	
  7.8139687e+000	  5.1890722e+002	  7.9286922e+000	
  7.9286922e+000	  5.1890722e+002	  8.0616359e+000	
  8.0616359e+000	  5.1890722e+002	  8.2205506e+000	
  8.2205506e+000	  5.1890722e+002	  8.4140151e+000	
  8.4140151e+000	  5.1890722e+002	  8.6370534e+000	
  8.6370534e+000	  5.1890722e+002	  8.8493089e+000	
  8.8493089e+000	  5.1890722e+002	  9.0144764e+000	
  9.0144764e+000	  5.1890722e+002	  9.1348667e+000	
  9.1348667e+000	  5.1890722e+002	  9.2239615e+000	
  9.2239615e+000	  5.1890722e+002	  9.2919688e+000	
  9.2919688e+000	  5.1890722e+002	  9.3453511e+000	
  9.3453511e+000	  5.1890722e+002	  9.3882003e+000	
  9.3882003e+000	  5.1890722e+002	  9.4232018e+000	
  9.4232018e+000	  5.1890722e+002	  9.4521892e+000	
  9.4521892e+000	  5.1890722e+002	  9.4764607e+000	
  9.4764607e+000	  5.1890722e+002	  9.4969639e+000	
  9.4969639e+000	  5.1859256e+002	  9.4742072e+000	
  9.4742072e+000	  5.1859256e+002	  9.4530326e+000	
  9.4530326e+000	  5.1859256e+002	  9.4334020e+000	
  9.4334020e+000	  5.1859256e+002	  9.4152670e+000	
  9.4152670e+000	  5.1859256e+002	  9.3985701e+000	
  9.3985701e+000	  5.1859256e+002	  9.3832466e+000	
  9.3832466e+000	  5.1859256e+002	  9.3692260e+000	
  9.3692260e+000	  5.1859256e+002	  9.3564339e+000	
  9.3564339e+000	  5.1859256e+002	  9.3447936e+000	
  9.3447936e+000	  5.1859256e+002	  9.3342272e+000	
  9.3342272e+000	  5.1859256e+002	  9.3246573e+000	
  9.3246573e+000	  5.1859256e+002	  9.3160080e+000	
  9.3160080e+000	  5.1859256e+002	  9.3082055e+000	
  9.3082055e+000	  5.1859256e+002	  9.3011790e+000	
  9.3011790e+000	  5.1859256e+002	  9.2948614e+000	
  9.2948614e+000	  5.1859256e+002	  9.2891891e+000	
  9.2891891e+000	  5.1859256e+002	  9.2841029e+000	
  9.2841029e+000	  5.1711266e+002	  8.8582592e+000	
  8.8582592e+000	  5.1711266e+002	  8.3505983e+000	
  8.3505983e+000	  5.1711266e+002	  8.0683834e+000	
  8.0683834e+000	  5.1711266e+002	  7.9064702e+000	
  7.9064702e+000	  5.1711266e+002	  7.7989475e+000	
  7.7989475e+000	  5.1711266e+002	  7.7212283e+000	
  7.7212283e+000	  5.1711266e+002	  7.6620771e+000	
  7.6620771e+000	  5.1711266e+002	  7.6154967e+000	
  7.6154967e+000	  5.1711266e+002	  7.5779262e+000	
  7.5779262e+000	  5.1711266e+002	  7.5470840e+000	
  7.5470840e+000	  5.1711266e+002	  7.5214233e+000	
  7.5214233e+000	  5.1711266e+002	  7.4998488e+000	
  7.4998488e+000	  5.1711266e+002	  7.4815577e+000	
  7.4815577e+000	  5.1711266e+002	  7.4659450e+000	
  7.4659450e+000	  5.1711266e+002	  7.4525440e+000	
  7.4525440e+000	  5.1711266e+002	  7.4409883e+000	
  7.4409883e+000	  5.1711266e+002	  7.4309850e+000	
  7.4309850e+000	  5.1711266e+002	  7.4222972e+000	
  7.4222972e+000	  5.1711266e+002	  7.4147309e+000	
  7.4147309e+000	  5.1711266e+002	  7.4081256e+000	
  7.4081256e+000	  5.1711266e+002	  7.4023476e+000	
  7.4023476e+000	  5.1711266e+002	  7.3972841e+000	
  7.3972841e+000	  5.1967712e+002	  7.5130322e+000	
  7.5130322e+000	  5.1967712e+002	  7.6497712e+000	
  7.6497712e+000	  5.1967712e+002	  7.8212101e+000	
  7.8212101e+000	  5.1967712e+002	  8.0588103e+000	
  8.0588103e+000	  5.1967712e+002	  8.4453261e+000	
  8.4453261e+000	  5.1967712e+002	  8.9688913e+000	
  8.9688913e+000	  5.1846272e+002	  8.9630163e+000	
  8.9630163e+000	  5.1846272e+002	  8.9577684e+000	
  8.9577684e+000	  5.1846272e+002	  8.9530846e+000	
  8.9530846e+000	  5.1855260e+002	  8.9798319e+000	
  8.9798319e+000	  5.1855260e+002	  9.0027933e+000	
  9.0027933e+000	  5.1855260e+002	  9.0225616e+000	
  9.0225616e+000	  5.1855260e+002	  9.0396303e+000	
  9.0396303e+000	  5.1855260e+002	  9.0544096e+000	
  9.0544096e+000	  5.1855260e+002	  9.0672398e+000	
  9.0672398e+000	  5.1614152e+002	  8.2307706e+000	
  8.2307706e+000	  5.1614152e+002	  7.8686526e+000	
  7.8686526e+000	  5.1614152e+002	  7.6868095e+000	
  7.6868095e+000	  5.1614152e+002	  7.5709322e+000	
  7.5709322e+000	  5.1614152e+002	  7.4887219e+000	
  7.4887219e+000	  5.1614152e+002	  7.4267956e+000	
  7.4267956e+000	  5.1614152e+002	  7.3783431e+000	
  7.3783431e+000	  5.1614152e+002	  7.3394314e+000	
  7.3394314e+000	  5.2072675e+002	  7.4984111e+000	
  7.4984111e+000	  5.2072675e+002	  7.7133399e+000	
  7.7133399e+000	  5.2072675e+002	  8.0676349e+000	
  8.0676349e+000	  5.2072675e+002	  8.8760667e+000	
  8.8760667e+000	  5.2072675e+002	  9.4249470e+000	
  9.4249470e+000	  5.2072675e+002	  9.6554513e+000	
  9.6554513e+000	  5.2072675e+002	  9.7919745e+000	
  9.7919745e+000	  5.2072675e+002	  9.8854025e+000	
  9.8854025e+000	  5.2072675e+002	  9.9542892e+000	
  9.9542892e+000	  5.2072675e+002	  1.0007429e+001	
  1.0007429e+001	  5.2072675e+002	  1.0049676e+001	
  1.0049676e+001	  5.2072675e+002	  1.0083988e+001	
  1.0083988e+001	  5.1499216e+002	  9.8792159e+000	
  9.8792159e+000	  5.1499216e+002	  9.5501367e+000	
  9.5501367e+000	  5.1499216e+002	  8.6421460e+000	
  8.6421460e+000	  5.1499216e+002	  7.8614002e+000	
  7.8614002e+000	  5.1499216e+002	  7.5997284e+000	
  7.5997284e+000	  5.1499216e+002	  7.4521625e+000	
  7.4521625e+000	  5.1499216e+002	  7.3530874e+000	
  7.3530874e+000	  5.1499216e+002	  7.2807514e+000	
  7.2807514e+000	  5.1499216e+002	  7.2252723e+000	
  7.2252723e+000	  5.1499216e+002	  7.1813262e+000	
  7.1813262e+000	  5.1499216e+002	  7.1457177e+000	
  7.1457177e+000	  5.1499216e+002	  7.1163790e+000	
  7.1163790e+000	  5.1499216e+002	  7.0918965e+000	
  7.0918965e+000	  5.1499216e+002	  7.0712616e+000	
  7.0712616e+000	  5.1729640e+002	  7.0995304e+000	
  7.0995304e+000	  5.1729640e+002	  7.1262465e+000	
  7.1262465e+000	  5.1729640e+002	  7.1514049e+000	
  7.1514049e+000	  5.1729640e+002	  7.1750118e+000	
  7.1750118e+000	  5.1729640e+002	  7.1970844e+000	
  7.1970844e+000	  5.1729640e+002	  7.2176504e+000	
  7.2176504e+000	  5.1729640e+002	  7.2367469e+000	
  7.2367469e+000	  5.1729640e+002	  7.2544202e+000	
  7.2544202e+000	  5.1729640e+002	  7.2707238e+000	
  7.2707238e+000	  5.1729640e+002	  7.2857177e+000	
  7.2857177e+000	  5.1729640e+002	  7.2994665e+000	
  7.2994665e+000	  5.1729640e+002	  7.3120386e+000	
  7.3120386e+000	  5.1729640e+002	  7.3235046e+000	
  7.3235046e+000	  5.1729640e+002	  7.3339362e+000	
  7.3339362e+000	  5.1729640e+002	  7.3434048e+000	
  7.3434048e+000	  5.1729640e+002	  7.3519812e+000	
  7.3519812e+000	  5.1729640e+002	  7.3597341e+000	
  7.3597341e+000	  5.1729640e+002	  7.3667299e+000	
  7.3667299e+000	  5.1729640e+002	  7.3730320e+000	
  7.3730320e+000	  5.1729640e+002	  7.3787005e+000	
  7.3787005e+000	  5.1729640e+002	  7.3837922e+000	
  7.3837922e+000	  5.1857340e+002	  7.4434996e+000	
  7.4434996e+000	  5.1857340e+002	  7.5042811e+000	
  7.5042811e+000	  5.1857340e+002	  7.5663027e+000	
  7.5663027e+000	  5.1857340e+002	  7.6297582e+000	
  7.6297582e+000	  5.1857340e+002	  7.6948742e+000	
  7.6948742e+000	  5.1857340e+002	  7.7619142e+000	
  7.7619142e+000	  5.1857340e+002	  7.8311818e+000	
  7.8311818e+000	  5.1857340e+002	  7.9030199e+000	
  7.9030199e+000	  5.1857340e+002	  7.9778019e+000	
  7.9778019e+000	  5.1857340e+002	  8.0559033e+000	
